date,direction,entry_time,entry_price,stop_price,target_price,exit_time,exit_price,exit_reason,shares,gross_pnl,costs,net_pnl,r_multiple,mae_usd,mfe_usd,mae_r,mfe_r
2022-01-04,short,2022-01-04 10:03:00-05:00,479.065,479.98,477.23499999999996,2022-01-04 11:00:00-05:00,477.23499999999996,target,109,199.47000000000446,6.54,192.93000000000447,1.9293000000000446,72.48500000000223,218.5449999999995,0.7248500000000223,2.185449999999995
2022-01-05,long,2022-01-05 10:25:00-05:00,477.63,476.15,480.59000000000003,2022-01-05 12:43:00-05:00,476.15,stop,67,-99.16000000000122,4.02,-103.18000000000121,-1.031800000000012,99.83000000000061,22.109999999998934,0.9983000000000061,0.22109999999998933
2022-01-06,short,2022-01-06 10:00:00-05:00,466.82,470.385,459.69,2022-01-06 12:43:00-05:00,470.385,stop,28,-99.81999999999994,1.68,-101.49999999999994,-1.0149999999999995,101.36000000000013,38.91999999999962,1.0136000000000012,0.38919999999999616
2022-01-07,short,2022-01-07 10:30:00-05:00,466.81,469.19,462.05,2022-01-07 16:00:00-05:00,466.19,eod,42,26.04000000000019,2.52,23.52000000000019,0.2352000000000019,53.12999999999943,88.62000000000057,0.5312999999999942,0.8862000000000058
2022-01-10,short,2022-01-10 10:01:00-05:00,459.04,463.02,451.0800000000001,2022-01-10 14:09:00-05:00,463.02,stop,25,-99.49999999999903,1.5,-100.99999999999903,-1.0099999999999902,100.74999999999932,60.75000000000017,1.0074999999999932,0.6075000000000017
2022-01-12,long,2022-01-12 10:00:00-05:00,472.65,470.96,476.03,2022-01-12 10:39:00-05:00,470.96,stop,59,-99.70999999999987,3.54,-103.24999999999987,-1.0324999999999986,103.83999999999946,31.270000000001744,1.0383999999999947,0.31270000000001746
2022-01-12,short,2022-01-12 10:41:00-05:00,470.96,472.65,467.58,2022-01-12 15:59:00-05:00,471.1,eod,59,-8.260000000002549,3.54,-11.800000000002548,-0.11800000000002547,50.740000000000805,116.22999999999826,0.5074000000000081,1.1622999999999826
2022-01-13,short,2022-01-13 10:04:00-05:00,471.76,472.83,469.62,2022-01-13 10:51:00-05:00,469.62,target,93,199.01999999999873,5.58,193.43999999999872,1.9343999999999872,24.179999999999154,217.61999999999767,0.24179999999999155,2.1761999999999766
2022-01-14,long,2022-01-14 10:00:00-05:00,464.47,460.75,471.9100000000001,2022-01-14 11:19:00-05:00,460.75,stop,26,-96.72000000000071,1.56,-98.28000000000071,-0.9828000000000071,97.24000000000024,9.099999999999113,0.9724000000000024,0.09099999999999113
2022-01-19,short,2022-01-19 10:17:00-05:00,457.76,459.59,454.1,2022-01-19 15:32:00-05:00,454.1,target,54,197.63999999999828,3.2399999999999998,194.39999999999827,1.9439999999999826,23.22000000000037,206.27999999999963,0.23220000000000368,2.062799999999996
2022-01-20,long,2022-01-20 10:31:00-05:00,457.0,453.53,463.94000000000005,2022-01-20 14:38:00-05:00,453.53,stop,28,-97.16000000000076,1.68,-98.84000000000077,-0.9884000000000077,97.44000000000051,48.44000000000051,0.974400000000005,0.4844000000000051
2022-01-21,short,2022-01-21 10:01:00-05:00,443.17,446.595,436.32,2022-01-21 10:50:00-05:00,446.595,stop,29,-99.32500000000033,1.74,-101.06500000000032,-1.0106500000000032,106.42999999999881,72.78999999999974,1.064299999999988,0.7278999999999973
